AL,1888504
AK,255173
AZ,2643430
AR,1170544
CA,13103114
CO,2137402
CT,1385437
DE,370953
FL,7931313
GA,3830264
HI,467932
ID,649299
IL,4884061
IN,2602770
IA,1273941
KS,1141985
KY,1748053
LA,1751956
ME,569551
MD,2518834
MA,2646980
MI,3980408
MN,2207988
MS,1116649
MO,2440212
MT,436048
NE,766663
NV,1130011
NH,539116
NJ,3272054
NM,792755
NY,7417224
NC,4031592
ND,320873
OH,4717226
OK,1493569
OR,1642579
PA,5106601
RI,414730
SC,1961481
SD,347878
TN,2639455
TX,9906070
UT,1003345
VT,262852
VA,3184121
WA,2905822
WV,734235
WI,2377935
WY,233231
