101,750263
102,1013545
103,489615
104,609964
105,358675
106,387079
107,575338
108,595257
201,200186
202,313388
203,211035
204,53595
205,216240
206,4192887
207,1204686
301,512800
302,165223
303,392783
304,369544
305,781623
306,240710
307,138512
308,157984
309,156739
401,1337329
402,3117459
403,97987
404,6651750
405,4363418
406,20001919
407,1684094
501,933536
502,551214
503,30284
504,3468206
505,45956
601,251143
602,1940868
603,1382086
701,538479
702,359455
801,1366092
802,2055754
803,3742112
804,4700832
805,1750845
806,5113880
807,71795
901,753079
902,4231353
903,232870
904,1474216
905,894441
906,574635
907,344347
908,456192
909,726520
1001,195657
1002,53743
1003,48628
1004,61524
1005,669897
1006,3663
1007,154537
1008,11387
1009,148564
1010,219982
1101,784518
1102,8754698
1103,248326
1104,733763
1105,495633
1106,710118
1107,329235
1108,516325
1109,258016
1201,889799
1202,738647
1203,648840
1204,464475
1205,2156573
1206,328033
1207,509553
1208,433823
1209,314059
1301,183830
1302,165169
1303,384141
1304,229940
1305,810467
1306,700609
1307,174314
1308,166781
1309,231104
1401,32940
1402,62922
1403,414136
1404,23211
1405,203422
1406,1018243
1407,138232
1408,668992
1409,291020
1501,673332
1502,1417940
1503,1417839
1504,830256
1601,448902
1602,296443
1603,106179
1604,116153
1605,359482
1606,1063887
1607,412332
1608,458475
1609,1271519
1701,111563
1702,628008
1703,588790
1801,176657
1802,103466
1803,340437
1804,2002820
1805,67995
1806,3431286
1807,222517
1808,30097
1901,179525
1902,3476817
1903,2891287
2001,199942
2002,111419
2003,297912
2004,208746
2005,287462
2006,382704
2007,455798
2008,1513533
2009,1107385
2010,5318739
2101,191702
2102,155844
2103,216268
2104,175375
2105,828344
2106,2507929
2107,119151
2108,348049
2109,761263
2201,94675
2202,367615
2203,267560
2204,156666
2205,367973
2206,253340
2207,439130
2208,227571
2209,325867
2210,466900
2301,1356425
2302,2309222
2303,505702
2304,891499
2305,730563
2306,195516
2401,323912
2402,152056
2403,65941
2404,173967
2405,200037
2406,44581
2407,28921
2501,87789
2502,31478
2503,137552
2505,156198
2506,1171975
2507,71286
2508,64504
2509,105559
2601,627826
2602,66610
2603,17926
2604,1988189
2701,73786
2702,1242684
2801,4563197
2802,3600331
2803,628366
2901,202221
2902,284929
2903,84315
2904,57172
2905,779449
2906,148728
2907,191123
2908,311242
3001,317083
3002,804173
3003,78062
3004,8037034
3005,6065945
3006,405468
3007,132153
3008,145316
3009,2465123
3010,927745
3101,850641
3102,371762
3103,1782817
3104,1857592
3105,1931500
3106,1406697
3107,868657
3108,465817
3201,98255
3202,36778
3203,106209
3204,29128
3205,34791
3206,173360
3207,35360
3208,118876
3209,39834
3301,978865
3302,663577
3303,2790893
3304,548011
3305,1932037
3306,432338
3307,929246
3308,2450031
3309,365201
3310,446305
3401,36587
3402,165358
3403,1018583
3404,81617
3405,1522447
3406,315981
3407,212936
3408,276376
3409,121466
3501,223134
3502,2699831
3503,387347
3504,11288
3505,8328
3506,137337
3507,275715
3508,56781
3509,31313
3601,815382
3602,860769
3603,5308127
3604,921403
3605,531564
3606,182665
3607,311901
3608,381304
3609,2652685
3610,736579
3701,1052567
3801,66055
3802,1200940
3803,421530
3804,710226
3805,349775
3806,916210
3807,960628
3901,17973
3902,21795
3903,71728
3904,133291
3905,52163
3906,36357
3907,118918
3908,21251
3909,340704
4001,2186163
4002,451709
4003,2199855
4004,1508378
4101,1030797
4102,417855
4103,8130394
4104,2345050
4105,1015446
4106,468518
4107,4058964
4108,5927377
4109,548037
4110,1203123
4201,13068
4202,131017
4203,1446476
4204,132536
4205,937908
4206,49494
4207,53386
4301,103342
4302,338082
4303,184317
4401,2132884
4402,1381276
4403,708151
4404,2637202
4405,561531
4406,579980
4501,95911
4502,187963
4503,3865517
4504,1062847
4505,17248
4506,59170
4507,75981
4508,753856
4509,506896
4510,99151
4601,255421
4602,348251
4603,578138
4604,267690
4605,148807
4606,254687
4701,274343
4702,311845
4703,159297
4704,497589
4705,303668
4706,987605
4707,218145
4708,914524
4709,2019970
4801,1153
4802,34082
4803,80834
4804,52182
4805,43618
4806,47710
4807,10221
4808,202207
4809,39993
4810,51626
