72423,USW00093821,KY,LOUISVILLE
72435,USW00003816,KY,PADUCAH
99KBTR,USW00013970,LA,BATON ROUGE
99KLFT,USW00013976,LA,LAFAYETTE
72240,USW00003937,LA,LAKE CHARLES
99KMLU,USW00013942,LA,MONROE
72231,USW00012916,LA,NEW ORLEANS
72248,USW00013957,LA,SHREVEPORT
99KAUG,USW00014605,ME,AUGUSTA
99KBGR,USW00014606,ME,BANGOR
72712,USW00014607,ME,CARIBOU
99KHUL,USW00014609,ME,HOULTON
72606,USW00014764,ME,PORTLAND
72406,USW00093721,MD,BALTIMORE
99KSBY,USW00093720,MD,SALISBURY
72509,USW00014739,MA,BOSTON
74494,USC00191386,MA,CHATHAM
99KORH,USW00094746,MA,WORCESTER
72639,USW00094849,MI,ALPENA
72537,USW00094847,MI,DETROIT
72637,USW00014826,MI,FLINT
72635,USW00094860,MI,GRAND RAPIDS
72744,USW00014858,MI,HANCOCK
72638,USW00094814,MI,HOUGHTON LAKE
99KJXN,USW00014833,MI,JACKSON
72539,USW00014836,MI,LANSING
72743,USW00014838,MI,MARQUETTE
72636,USW00014840,MI,MUSKEGON
99KMBS,USW00014845,MI,SAGINAW
72734,USW00014847,MI,SAULT ST MARIE
99KTVC,USW00014850,MI,TRAVERSE CITY
99KAXN,USW00014910,MN,ALEXANDRIA
72745,USW00014913,MN,DULUTH
99KHIB,USW00094931,MN,HIBBING
72747,USW00014918,MN,INT'L FALLS
72658,USW00014922,MN,MINNEAPOLIS
72644,USW00014925,MN,ROCHESTER
72655,USW00014926,MN,SAINT CLOUD
99KGWO,USW00013978,MS,GREENWOOD
72235,USW00003940,MS,JACKSON
99KMCB,USW00093919,MS,MCCOMB
72234,USW00013865,MS,MERIDIAN
72332,USW00093862,MS,TUPELO
72445,USW00003945,MO,COLUMBIA
99KJLN,USW00013987,MO,JOPLIN
72446,USW00003947,MO,KANSAS CITY
72434,USW00013994,MO,SAINT LOUIS
72440,USW00013995,MO,SPRINGFIELD
72677,USW00024033,MT,BILLINGS
99KBTM,USW00024135,MT,BUTTE
99KCTB,USW00024137,MT,CUT BANK
72768,USW00094008,MT,GLASGOW
72775,USW00024143,MT,GREAT FALLS
72777,USW00094012,MT,HAVRE
72772,USW00024144,MT,HELENA
72779,USC00244558,MT,KALISPELL
99KLWT,USW00024036,MT,LEWISTOWN
74230,USW00024037,MT,MILES CITY
